"IRいしかわ鉄道","IRいしかわ鉄道線"
"九州旅客鉄道","香椎線"
"九州旅客鉄道","鹿児島本線"
"九州旅客鉄道","鹿児島本線_川内以南"
"井原鉄道","井原線"
"京成電鉄","京成千原線"
"京成電鉄","京成千葉線"
"京成電鉄","京成成田空港線"
"京成電鉄","京成押上線"
"京成電鉄","京成本線"
"京成電鉄","京成東成田線"
"京成電鉄","京成金町線"
"京浜急行電鉄","京急久里浜線"
"京浜急行電鉄","京急大師線"
"京浜急行電鉄","京急本線"
"京浜急行電鉄","京急空港線"
"京浜急行電鉄","京急逗子線"
"京王電鉄","京王井の頭線"
"京王電鉄","京王線"
"京王電鉄","京王線_新線"
"京王電鉄","京王動物園線"
"京王電鉄","京王相模原線"
"京王電鉄","京王競馬場線"
"京王電鉄","京王高尾線"
"京福電気鉄道","北野線"
"京福電気鉄道","嵐山本線"
"京福電気鉄道","鋼索線"
"京都市交通局","東西線"
"京都市交通局","烏丸線"
"京阪電気鉄道","京阪中之島線"
"京阪電気鉄道","京阪交野線"
"京阪電気鉄道","京阪京津線"
"京阪電気鉄道","京阪本線"
"京阪電気鉄道","京阪宇治線"
"京阪電気鉄道","京阪石山坂本線"
"京阪電気鉄道","京阪鋼索線"
"京阪電気鉄道","京阪鴨東線"
"仙台市交通局","南北線"
"仙台市交通局","東西線"
"仙台空港鉄道","仙台空港線"
"伊予鉄道","城北線"
"伊予鉄道","城南線"
"伊予鉄道","城南線_平和通一丁目-上一万"
"伊予鉄道","大手町線"
"伊予鉄道","本町線"
"伊予鉄道","横河原線"
"伊予鉄道","花園線"
"伊予鉄道","郡中線"
"伊予鉄道","高浜線"
"伊勢鉄道","伊勢線"
"伊豆急行","伊豆急行線"
"伊豆箱根鉄道","十国鋼索線"
"伊豆箱根鉄道","大雄山線"
"伊豆箱根鉄道","駿豆線"
"伊賀鉄道","伊賀線"
"会津鉄道","会津線"
"信楽高原鐵道","信楽線"
"六甲山観光","六甲ケーブル線"
"函館市企業局交通部","大森線"
"函館市企業局交通部","宝来・谷地頭線"
"函館市企業局交通部","本線"
"函館市企業局交通部","湯の川線"
"北九州高速鉄道","小倉線"
"北大阪急行電鉄","南北線"
"北条鉄道","北条線"
"北海道旅客鉄道","函館本線"
"北海道旅客鉄道","函館本線_鹿部経由"
"北海道旅客鉄道","北海道新幹線"
"北海道旅客鉄道","千歳線"
"北海道旅客鉄道","千歳線_空港支線"
"北海道旅客鉄道","宗谷本線"
"北海道旅客鉄道","室蘭本線"
"北海道旅客鉄道","室蘭本線_支線"
"北海道旅客鉄道","富良野線"
"北海道旅客鉄道","日高本線"
"北海道旅客鉄道","札沼線"
"北海道旅客鉄道","根室本線"
"北海道旅客鉄道","海峡線"
"北海道旅客鉄道","留萌本線"
"北海道旅客鉄道","石勝線"
"北海道旅客鉄道","石北本線"
"北海道旅客鉄道","釧網本線"
"北総鉄道","北総線"
"北越急行","ほくほく線"
"北陸鉄道","浅野川線"
"北陸鉄道","石川線"
"千葉都市モノレール","1号線"
"千葉都市モノレール","2号線"
"南海電気鉄道","南海加太線"
"南海電気鉄道","南海本線"
"南海電気鉄道","南海和歌山港線"
"南海電気鉄道","南海多奈川線"
"南海電気鉄道","南海空港線"
"南海電気鉄道","南海鋼索線"
"南海電気鉄道","南海高師浜線"
"南海電気鉄道","南海高野線"
"南阿蘇鉄道","高森線"
"叡山電鉄","叡山本線"
"叡山電鉄","鞍馬線"
"名古屋ガイドウェイバス","ガイドウェイバス志段味線"
"名古屋市交通局","東山線"
"名古屋市交通局","2号線名城線"
"名古屋市交通局","名港線"
"名古屋市交通局","鶴舞線"
"名古屋市交通局","4号線名城線"
"名古屋市交通局","桜通線"
"名古屋市交通局","上飯田線"
"名古屋臨海高速鉄道","あおなみ線"
"名古屋鉄道","名鉄三河線"
"名古屋鉄道","名鉄各務原線"
"名古屋鉄道","名鉄名古屋本線"
"名古屋鉄道","名鉄小牧線"
"名古屋鉄道","名鉄尾西線"
"名古屋鉄道","名鉄常滑線"
"名古屋鉄道","名鉄広見線"
"名古屋鉄道","名鉄河和線"
"名古屋鉄道","名鉄津島線"
"名古屋鉄道","名鉄瀬戸線"
"名古屋鉄道","名鉄犬山線"
"名古屋鉄道","名鉄知多新線"
"名古屋鉄道","名鉄空港線"
"名古屋鉄道","名鉄竹鼻線"
"名古屋鉄道","名鉄築港線"
"名古屋鉄道","名鉄羽島線"
"名古屋鉄道","名鉄蒲郡線"
"名古屋鉄道","名鉄西尾線"
"名古屋鉄道","名鉄豊川線"
"名古屋鉄道","名鉄豊田線"
"和歌山電鐵","貴志川線"
"四国ケーブル","八栗ケーブル"
"四国旅客鉄道","予土線"
"四国旅客鉄道","予讃線"
"四国旅客鉄道","予讃線_向井原-内子"
"四国旅客鉄道","予讃線_新谷-伊予大洲"
"四国旅客鉄道","内子線"
"四国旅客鉄道","土讃線"
"四国旅客鉄道","徳島線"
"四国旅客鉄道","本四備讃線"
"四国旅客鉄道","牟岐線"
"四国旅客鉄道","高徳線"
"四国旅客鉄道","鳴門線"
"四日市あすなろう鉄道","八王子線"
"四日市あすなろう鉄道","内部線"
"土佐くろしお鉄道","中村線"
"土佐くろしお鉄道","宿毛線"
"土佐くろしお鉄道","ごめん・なはり線"
"埼玉新都市交通","伊奈線"
"埼玉高速鉄道","埼玉高速鉄道線"
"多摩都市モノレール","多摩都市モノレール線"
"大井川鐵道","井川線"
"大井川鐵道","大井川本線"
"大阪モノレール","国際文化公園都市モノレール線"
"大阪モノレール","大阪モノレール線"
"大阪市高速電気軌道","御堂筋線"
"大阪市高速電気軌道","谷町線"
"大阪市高速電気軌道","四つ橋線"
"大阪市高速電気軌道","中央線"
"大阪市高速電気軌道","千日前線"
"大阪市高速電気軌道","堺筋線"
"大阪市高速電気軌道","長堀鶴見緑地線"
"大阪市高速電気軌道","今里筋線"
"大阪市高速電気軌道","南港ポートタウン線"
"天竜浜名湖鉄道","天竜浜名湖線"
"富士急行","大月線"
"富士急行","河口湖線"
"富山地方鉄道","上滝線"
"富山地方鉄道","不二越線"
"富山地方鉄道","呉羽線"
"富山地方鉄道","安野屋線"
"富山地方鉄道","富山港線"
"富山地方鉄道","富山都心線"
"富山地方鉄道","富山駅南北接続線"
"富山地方鉄道","支線"
"富山地方鉄道","本線"
"富山地方鉄道","本線_電鉄富山-南富山"
"富山地方鉄道","立山線"
"小湊鐵道","小湊鉄道線"
"小田急電鉄","小田急多摩線"
"小田急電鉄","小田急小田原線"
"小田急電鉄","小田急江ノ島線"
"山万","ユーカリが丘線"
"山形鉄道","フラワー長井線"
"山陽電気鉄道","本線"
"山陽電気鉄道","網干線"
"岡山電気軌道","東山本線"
"岡山電気軌道","清輝橋線"
"岳南電車","岳南線"
"島原鉄道","島原鉄道線"
"嵯峨野観光鉄道","嵯峨野観光線"
"平成筑豊鉄道","伊田線"
"平成筑豊鉄道","田川線"
"平成筑豊鉄道","糸田線"
"平成筑豊鉄道","門司港レトロ観光線"
"広島電鉄","宇品線"
"広島電鉄","宮島線"
"広島電鉄","本線"
"広島電鉄","横川線"
"広島電鉄","江波線"
"広島電鉄","白島線"
"広島電鉄","皆実線"
"広島高速交通","広島新交通1号線"
"弘南鉄道","大鰐線"
"弘南鉄道","弘南線"
"御岳登山鉄道","ケーブルカー"
"愛知環状鉄道","愛知環状鉄道線"
"愛知高速交通","東部丘陵線"
"新京成電鉄","新京成線"
"明知鉄道","明知線"
"智頭急行","智頭線"
"札幌市交通局","南北線"
"札幌市交通局","東西線"
"札幌市交通局","東豊線"
"札幌市交通事業振興公社","1条線"
"札幌市交通事業振興公社","山鼻線"
"札幌市交通事業振興公社","山鼻西線"
"札幌市交通事業振興公社","都心線"
"東京モノレール","東京モノレール羽田線"
"東京地下鉄","半蔵門線"
"東京地下鉄","副都心線"
"東京地下鉄","日比谷線"
"東京地下鉄","銀座線"
"東京地下鉄","丸ノ内線"
"東京地下鉄","丸ノ内線分岐線"
"東京地下鉄","東西線"
"東京地下鉄","南北線"
"東京地下鉄","有楽町線"
"東京地下鉄","千代田線"
"東京臨海高速鉄道","りんかい線"
"東京都交通局","新宿線"
"東京都交通局","大江戸線"
"東京都交通局","浅草線"
"東京都交通局","三田線"
"東京都交通局","上野懸垂線"
"東京都交通局","日暮里・舎人ライナー"
"東京都交通局","都電荒川線"
"東急電鉄","東急こどもの国線"
"東急電鉄","東急世田谷線"
"東急電鉄","東急大井町線"
"東急電鉄","東急多摩川線"
"東急電鉄","東急東横線"
"東急電鉄","東急池上線"
"東急電鉄","東急田園都市線"
"東急電鉄","東急目黒線"
"東日本旅客鉄道","上越新幹線"
"東日本旅客鉄道","上越線"
"東日本旅客鉄道","上越線_ガーラ湯沢"
"東日本旅客鉄道","両毛線"
"東日本旅客鉄道","中央本線"
"東日本旅客鉄道","中央本線_岡谷-塩尻"
"東日本旅客鉄道","久留里線"
"東日本旅客鉄道","五日市線"
"東日本旅客鉄道","五能線"
"東日本旅客鉄道","京葉線"
"東日本旅客鉄道","京葉線_市川塩浜-西船橋"
"東日本旅客鉄道","京葉線_西船橋-南船橋"
"東日本旅客鉄道","仙山線"
"東日本旅客鉄道","仙石線"
"東日本旅客鉄道","伊東線"
"東日本旅客鉄道","信越本線_高崎-横川"
"東日本旅客鉄道","信越本線_篠ノ井-長野"
"東日本旅客鉄道","信越本線_直江津-新潟"
"東日本旅客鉄道","八戸線"
"東日本旅客鉄道","八高線"
"東日本旅客鉄道","内房線"
"東日本旅客鉄道","北上線"
"東日本旅客鉄道","北陸新幹線"
"東日本旅客鉄道","南武線"
"東日本旅客鉄道","南武線_支線"
"東日本旅客鉄道","只見線"
"東日本旅客鉄道","吾妻線"
"東日本旅客鉄道","外房線"
"東日本旅客鉄道","大湊線"
"東日本旅客鉄道","大糸線"
"東日本旅客鉄道","大船渡線"
"東日本旅客鉄道","奥羽本線"
"東日本旅客鉄道","小海線"
"東日本旅客鉄道","山手線"
"東日本旅客鉄道","山田線"
"東日本旅客鉄道","川越線"
"東日本旅客鉄道","左沢線"
"東日本旅客鉄道","常磐線"
"東日本旅客鉄道","弥彦線"
"東日本旅客鉄道","成田線"
"東日本旅客鉄道","成田線_我孫子線"
"東日本旅客鉄道","成田線_空港支線"
"東日本旅客鉄道","日光線"
"東日本旅客鉄道","東北新幹線"
"東日本旅客鉄道","東北本線"
"東日本旅客鉄道","東北本線_尾久"
"東日本旅客鉄道","東北本線_利府支線"
"東日本旅客鉄道","埼京線"
"東日本旅客鉄道","東海道線"
"東日本旅客鉄道","東海道線_相鉄直通線"
"東日本旅客鉄道","東海道線_品鶴線"
"東日本旅客鉄道","東金線"
"東日本旅客鉄道","根岸線"
"東日本旅客鉄道","横浜線"
"東日本旅客鉄道","横須賀線"
"東日本旅客鉄道","武蔵野線"
"東日本旅客鉄道","武蔵野線_与野-西浦和"
"東日本旅客鉄道","気仙沼線"
"東日本旅客鉄道","水戸線"
"東日本旅客鉄道","水郡線"
"東日本旅客鉄道","津軽線"
"東日本旅客鉄道","烏山線"
"東日本旅客鉄道","田沢湖線"
"東日本旅客鉄道","男鹿線"
"東日本旅客鉄道","白新線"
"東日本旅客鉄道","相模線"
"東日本旅客鉄道","石巻線"
"東日本旅客鉄道","磐越東線"
"東日本旅客鉄道","磐越西線"
"東日本旅客鉄道","篠ノ井線"
"東日本旅客鉄道","米坂線"
"東日本旅客鉄道","総武本線"
"東日本旅客鉄道","総武本線_御茶ノ水-錦糸町"
"東日本旅客鉄道","羽越本線"
"東日本旅客鉄道","花輪線"
"東日本旅客鉄道","赤羽線"
"東日本旅客鉄道","越後線"
"東日本旅客鉄道","釜石線"
"東日本旅客鉄道","陸羽東線"
"東日本旅客鉄道","陸羽西線"
"東日本旅客鉄道","青梅線"
"東日本旅客鉄道","飯山線"
"東日本旅客鉄道","高崎線"
"東日本旅客鉄道","鶴見線"
"東日本旅客鉄道","鶴見線_安善-大川"
"東日本旅客鉄道","鶴見線_浅野-海芝浦"
"東日本旅客鉄道","鹿島線"
"東武鉄道","東武亀戸線"
"東武鉄道","東武伊勢崎線"
"東武鉄道","東武伊勢崎線_押上-曳舟"
"東武鉄道","東武佐野線"
"東武鉄道","東武大師線"
"東武鉄道","東武宇都宮線"
"東武鉄道","東武小泉線"
"東武鉄道","東武小泉線_東小泉-西小泉"
"東武鉄道","東武日光線"
"東武鉄道","東武東上本線"
"東武鉄道","東武桐生線"
"東武鉄道","東武越生線"
"東武鉄道","東武野田線"
"東武鉄道","東武鬼怒川線"
"東海交通事業","城北線"
"東海旅客鉄道","中央線"
"東海旅客鉄道","参宮線"
"東海旅客鉄道","名松線"
"東海旅客鉄道","太多線"
"東海旅客鉄道","御殿場線"
"東海旅客鉄道","東海道新幹線"
"東海旅客鉄道","東海道線"
"東海旅客鉄道","東海道線_大垣-美濃赤坂"
"東海旅客鉄道","武豊線"
"東海旅客鉄道","紀勢線"
"東海旅客鉄道","身延線"
"東海旅客鉄道","関西線"
"東海旅客鉄道","飯田線"
"東海旅客鉄道","高山線"
"東葉高速鉄道","東葉高速線"
"松浦鉄道","西九州線"
"横浜シーサイドライン","金沢シーサイドライン"
"横浜市交通局","1号線"
"横浜市交通局","3号線"
"横浜市交通局","グリーンライン"
"横浜高速鉄道","みなとみらい21線"
"樽見鉄道","樽見線"
"比叡山鉄道","比叡山鉄道線"
"水島臨海鉄道","水島本線"
"水間鉄道","水間線"
"江ノ島電鉄","江ノ島電鉄線"
"沖縄都市モノレール","沖縄都市モノレール線"
"泉北高速鉄道","泉北高速鉄道線"
"津軽鉄道","津軽鉄道線"
"流鉄","流山線"
"湘南モノレール","江の島線"
"熊本市交通局","熊本市電上熊本線"
"熊本市交通局","熊本市電健軍線"
"熊本市交通局","熊本市電幹線"
"熊本市交通局","熊本市電水前寺線"
"熊本市交通局","熊本市電田崎線"
"熊本電気鉄道","菊池線"
"熊本電気鉄道","藤崎線"
"甘木鉄道","甘木線"
"由利高原鉄道","鳥海山ろく線"
"皿倉登山鉄道","皿倉山ケーブルカー"
"相模鉄道","相鉄いずみ野線"
"相模鉄道","相鉄本線"
"相模鉄道","相鉄新横浜線"
"真岡鐵道","真岡線"
"神戸すまいまちづくり公社","摩耶ケーブル線"
"神戸市交通局","北神線"
"神戸市交通局","山手線"
"神戸市交通局","神戸市営地下鉄海岸線"
"神戸市交通局","西神延伸線"
"神戸市交通局","西神線"
"神戸新交通","ポートアイランド線"
"神戸新交通","ポートアイランド線_中埠頭回り"
"神戸新交通","六甲アイランド線"
"神戸電鉄","三田線"
"神戸電鉄","公園都市線"
"神戸電鉄","有馬線"
"神戸電鉄","神戸高速線"
"神戸電鉄","粟生線"
"福井鉄道","福武線_福井城址大名町-田原町"
"福井鉄道","福武線_福井-越前武生"
"福岡市交通局","空港線"
"福岡市交通局","箱崎線"
"福岡市交通局","七隈線"
"福島交通","飯坂線"
"秋田内陸縦貫鉄道","秋田内陸線"
"秩父鉄道","秩父本線"
"立山黒部貫光","無軌条電車線"
"立山黒部貫光","鋼索線_黒部ケーブルカー"
"立山黒部貫光","鋼索線_立山ケーブルカー"
"筑波観光鉄道","筑波山鋼索鉄道線"
"筑豊電気鉄道","筑豊電気鉄道線"
"箱根登山鉄道","鉄道線"
"箱根登山鉄道","鋼索線"
"紀州鉄道","紀州鉄道線"
"肥薩おれんじ鉄道","肥薩おれんじ鉄道線"
"能勢電鉄","妙見線"
"能勢電鉄","日生線"
"能勢電鉄","鋼索線"
"舞浜リゾートライン","ディズニーリゾートライン"
"芝山鉄道","芝山鉄道線"
"若桜鉄道","若桜線"
"西日本旅客鉄道","JR東西線"
"西日本旅客鉄道","おおさか東線_新大阪-鴫野"
"西日本旅客鉄道","おおさか東線_放出-久宝寺"
"西日本旅客鉄道","七尾線"
"西日本旅客鉄道","伯備線"
"西日本旅客鉄道","加古川線"
"西日本旅客鉄道","北陸新幹線"
"西日本旅客鉄道","北陸本線"
"西日本旅客鉄道","博多南線"
"西日本旅客鉄道","可部線"
"西日本旅客鉄道","吉備線"
"西日本旅客鉄道","呉線"
"西日本旅客鉄道","和歌山線"
"西日本旅客鉄道","因美線"
"西日本旅客鉄道","城端線"
"西日本旅客鉄道","境線"
"西日本旅客鉄道","大糸線"
"西日本旅客鉄道","大阪環状線"
"西日本旅客鉄道","奈良線"
"西日本旅客鉄道","姫新線"
"西日本旅客鉄道","宇部線"
"西日本旅客鉄道","宇野線"
"西日本旅客鉄道","小浜線"
"西日本旅客鉄道","小野田線"
"西日本旅客鉄道","小野田線_支線"
"西日本旅客鉄道","山口線"
"西日本旅客鉄道","山陰本線"
"西日本旅客鉄道","山陰本線_仙崎-長門市"
"西日本旅客鉄道","山陽新幹線"
"西日本旅客鉄道","山陽線"
"西日本旅客鉄道","山陽線_和田岬線"
"西日本旅客鉄道","岩徳線"
"西日本旅客鉄道","播但線"
"西日本旅客鉄道","木次線"
"西日本旅客鉄道","本四備讃線"
"西日本旅客鉄道","東海道線"
"西日本旅客鉄道","桜井線"
"西日本旅客鉄道","桜島線"
"西日本旅客鉄道","氷見線"
"西日本旅客鉄道","津山線"
"西日本旅客鉄道","湖西線"
"西日本旅客鉄道","片町線"
"西日本旅客鉄道","福塩線"
"西日本旅客鉄道","福知山線"
"西日本旅客鉄道","紀勢線"
"西日本旅客鉄道","美祢線"
"西日本旅客鉄道","舞鶴線"
"西日本旅客鉄道","芸備線"
"西日本旅客鉄道","草津線"
"西日本旅客鉄道","赤穂線"
"西日本旅客鉄道","越美北線"
"西日本旅客鉄道","関西空港線"
"西日本旅客鉄道","関西本線"
"西日本旅客鉄道","阪和線"
"西日本旅客鉄道","阪和線_羽衣支線"
"西日本旅客鉄道","高山線"
"西日本鉄道","西鉄天神大牟田線"
"西日本鉄道","西鉄太宰府線"
"西日本鉄道","西鉄甘木線"
"西日本鉄道","西鉄貝塚線"
"西武鉄道","西武国分寺線"
"西武鉄道","西武多摩川線"
"西武鉄道","西武多摩湖線"
"西武鉄道","西武山口線"
"西武鉄道","西武拝島線"
"西武鉄道","西武新宿線"
"西武鉄道","西武池袋線"
"西武鉄道","西武狭山線"
"西武鉄道","西武西武園線"
"西武鉄道","西武有楽町線"
"西武鉄道","西武秩父線"
"西武鉄道","西武豊島線"
"豊橋鉄道","東田本線"
"豊橋鉄道","東田本線_支線"
"豊橋鉄道","渥美線"
"近江鉄道","八日市線"
"近江鉄道","多賀線"
"近江鉄道","本線"
"近畿日本鉄道","近鉄けいはんな線"
"近畿日本鉄道","近鉄京都線"
"近畿日本鉄道","近鉄信貴線"
"近畿日本鉄道","近鉄南大阪線"
"近畿日本鉄道","近鉄吉野線"
"近畿日本鉄道","近鉄名古屋線"
"近畿日本鉄道","近鉄大阪線"
"近畿日本鉄道","近鉄天理線"
"近畿日本鉄道","近鉄奈良線"
"近畿日本鉄道","近鉄山田線"
"近畿日本鉄道","近鉄御所線"
"近畿日本鉄道","近鉄志摩線"
"近畿日本鉄道","近鉄橿原線"
"近畿日本鉄道","近鉄湯の山線"
"近畿日本鉄道","近鉄生駒線"
"近畿日本鉄道","近鉄生駒鋼索線"
"近畿日本鉄道","近鉄田原本線"
"近畿日本鉄道","近鉄西信貴鋼索線"
"近畿日本鉄道","近鉄道明寺線"
"近畿日本鉄道","近鉄鈴鹿線"
"近畿日本鉄道","近鉄長野線"
"近畿日本鉄道","近鉄難波線"
"近畿日本鉄道","近鉄鳥羽線"
"道南いさりび鉄道","道南いさりび鉄道線"
"遠州鉄道","鉄道線"
"野岩鉄道","会津鬼怒川線"
"銚子電気鉄道","銚子電気鉄道線"
"錦川鉄道","錦川清流線"
"長崎電気軌道","大浦支線"
"長崎電気軌道","本線"
"長崎電気軌道","桜町支線"
"長崎電気軌道","蛍茶屋支線"
"長崎電気軌道","赤迫支線"
"長良川鉄道","越美南線"
"長野電鉄","長野線"
"関東鉄道","常総線"
"関東鉄道","竜ヶ崎線"
"阪堺電気軌道","上町線"
"阪堺電気軌道","阪堺線"
"阪急電鉄","阪急京都本線"
"阪急電鉄","阪急今津線"
"阪急電鉄","阪急伊丹線"
"阪急電鉄","阪急千里線"
"阪急電鉄","阪急宝塚本線"
"阪急電鉄","阪急嵐山線"
"阪急電鉄","阪急甲陽線"
"阪急電鉄","阪急神戸本線"
"阪急電鉄","阪急神戸高速線"
"阪急電鉄","阪急箕面線"
"阪神電気鉄道","阪神本線"
"阪神電気鉄道","阪神武庫川線"
"阪神電気鉄道","阪神神戸高速線"
"阪神電気鉄道","阪神なんば線"
"阿佐海岸鉄道","阿佐東線"
"阿武隈急行","阿武隈急行線"
"青い森鉄道","青い森鉄道線"
"静岡鉄道","静岡清水線"
"鞍馬寺","鞍馬山鋼索鉄道"
"養老鉄道","養老線"
"首都圏新都市鉄道","つくばエクスプレス"
"高尾登山電鉄","高尾鋼索線"
"高松琴平電気鉄道","志度線"
"高松琴平電気鉄道","琴平線"
"高松琴平電気鉄道","長尾線"
"鹿児島市交通局","鹿児島市電唐湊線"
"鹿児島市交通局","鹿児島市電第一期線"
"鹿児島市交通局","鹿児島市電第二期線"
"鹿児島市交通局","鹿児島市電谷山線"
"鹿島臨海鉄道","大洗鹿島線"
"黒部峡谷鉄道","本線"
